absorbabilité | absorbability
absurdité | absurdity
acceptabilité | acceptability
Accessibilité | accessability
accessibilité | accessibility
responsabilité | accountability
acidité | acidity
acridité | acridity
l&#39;actionabilité | actionability
activité | activity
actualité | actuality
acuité | acuity
adaptabilité | adaptability
adressabilité | addressability
adiposité | adiposity
amirauté | admiralty
admissibilité | admissability
admissibilité | admissibility
adoptabilité | adoptability
adorabilité | adorability
adversité | adversity
opportunité | advisability
affabilité | affability
affectivité | affectivity
affinité | affinity
agilité | agility
agréabilité | agreeability
aliénabilité | alienability
alcalinité | alkalinity
allergénicité | allergenicity
altérabilité | alterability
ambidextérité | ambidexterity
ambiguïté | ambiguity
ambisexualité | ambisexuality
commodité | amenability
aménité | amenity
amabilité | amiability
amabilité | amicability
amoralité | amorality
angularité | angularity
anilité | anility
animalité | animality
animosité | animosity
la responsabilité | answerability
antifertilité | antifertility
antigénicité | antigenicity
anti-gravité | antigravity
antipauvreté | antipoverty
antiquité | antiquity
anxiété | anxiety
attractivité | appealability
applicabilité | applicability
accessibilité | approachability
aridité | aridity
facticité | artificiality
asexualité | asexuality
asinité | asininity
aspérité | asperity
assiduité | assiduity
assignabilité | assignability
associativité | associativity
atonalité | atonality
atrocité | atrocity
audibilité | audibility
austérité | austerity
authenticité | authenticity
autorité | authority
auto-immunité | autoimmunity
disponibilité | availability
avidité | avidity
axialité | axiality
banalité | banality
basicité | basicity
beauté | beauty
crédibilité | believability
bellicosité | bellicosity
bénignité | benignity
bestialité | bestiality
bibulosité | bibulosity
biconvexité | biconvexity
bilatéralité | bilaterality
bioactivité | bioactivity
biodégradabilité | biodegradability
bioélectricité | bioelectricity
bipolarité | bipolarity
bipotentialité | bipotentiality
bisexualité | bisexuality
brièveté | brevity
brutalité | brutality
calamité | calamity
calculabilité | calculability
callosité | callosity
caninité | caninity
canonicité | canonicity
capacité | capacity
capillarité | capillarity
captivité | captivity
cancérogénicité | carcinogenicity
cardinalité | cardinality
catholicité | catholicity
causalité | causality
causticité | causticity
cavité | cavity
célébrité | celebrity
célérité | celerity
centralité | centrality
charité | charity
chasteté | chastity
la chimiorécité | chemoreceptivity
chimiosensibilité | chemosensitivity
chromaticité | chromaticity
chronicité | chronicity
circuité | circuity
circularité | circularity
civilité | civility
clandestinité | clandestinity
clarté | clarity
coagulabilité | coagulability
la co-égalité | coequality
collapsibilité | collapsibility
collégialité | collegiality
combustibilité | combustibility
comicalité | comicality
communalité | communality
la communicabilité | communicability
communauté | community
comparabilité | comparability
compatibilité | compatibility
complexité | complexity
complicité | complicity
la compréhensibilité | comprehensibility
compressibilité | compressibility
calculabilité | computability
concavité | concavity
la concevabilité | conceivability
concentricité | concentricity
conditionnalité | conditionality
conductibilité | conductibility
conductivité | conductivity
confidentialité | confidentiality
conformité | conformity
convivialité | congeniality
congruité | congruity
conicité | conicity
la conjugalité | conjugality
consanguinité | consanguinity
constitutionnalité | constitutionality
contiguïté | contiguity
continuité | continuity
contractibilité | contractibility
contractilité | contractility
contrariété | contrariety
contrôlabilité | controllability
convexité | convexity
convivialité | conviviality
cordialité | cordiality
corporéité | corporeality
corrélité | correality
corrodibilité | corrodibility
corruptibilité | corruptibility
la comptabilité | countability
comté | county
la créativité | creativity
crédibilité | credibility
créditabilité | creditability
crédulité | credulity
criminalité | criminality
criticité | criticality
la crossabilité | crossability
crudité | crudity
cruauté | cruelty
cubicité | cubicity
culpabilité | culpability
cupidité | cupidity
curabilité | curability
curiosité | curiosity
damnabilité | damnability
débilité | debility
déclivité | declivity
décomposabilité | decomposability
déductibilité | deductibility
la défensibilité | defensibility
déité | deity
densité | density
fiabilité | dependability
déportabilité | deportability
dépressibilité | depressibility
désirabilité | desirability
destructibilité | destructibility
detachabilité | detachability
déterminabilité | determinability
dextérité | dexterity
difficulté | difficulty
digestibilité | digestibility
dignité | dignity
dimensionnalité | dimensionality
invalidité | disability
discontinuité | discontinuity
malhonnêteté | dishonesty
déloyauté | disloyalty
disparité | disparity
disputabilité | disputability
dissolvabilité | dissolvability
distensibilité | distensibility
distractibilité | distractibility
la diversité | diversity
divinité | divinity
divisibilité | divisibility
docilité | docility
la domesticité | domesticity
dualité | duality
ductilité | ductility
duplicité | duplicity
durabilité | durability
excentricité | eccentricity
l&#39;oecuménicité | ecumenicity
comestibilité | edibility
efficacité | effectuality
égocentricité | egocentricity
élasticité | elasticity
électricité | electricity
admissibilité | eligibility
émissivité | emissivity
émotivité | emotionality
employabilité | employability
hostilité | enmity
énormité | enormity
intégralité | entirety
entité | entity
égalité | equability
égalité | equality
équanimité | equanimity
l&#39;équité | equinity
équité | equity
érosivité | erosivity
oestrogénicité | estrogenicity
éternité | eternity
ethnicité | ethnicity
éventualité | eventuality
excitabilité | excitability
exclusivité | exclusivity
exiguité | exiguity
l&#39;épuisabilité | expendability
extensibilité | extendability
exterritorialité | exterritoriality
extraterritorialité | extraterritoriality
extrémité | extremity
la faculté | faculty
faillibilité | fallibility
falsifiabilité | falsifiability
fausseté | falsity
familiarité | familiarity
Fatalité | fatality
fatigabilité | fatigability
fatigabilité | fatiguability
fatuité | fatuity
faisabilité | feasibility
fécondité | fecundity
félicité | felicity
félinité | felinity
la féminité | femininity
férocité | ferocity
la fertilité | fertility
festivité | festivity
fidélité | fidelity
agité | fidgety
filtrabilité | filterability
finalité | finality
fissilité | fissility
fixité | fixity
flaccidité | flaccidity
inflammabilité | flammability
la flexibilité | flexibility
flottabilité | floatability
fluidité | fluidity
prévisibilité | foreseeability
formalité | formality
fragilité | fragility
fragilité | frailty
frangibilité | frangibility
fraternité | fraternity
friabilité | friability
frigidité | frigidity
frivolité | frivolity
frugalité | frugality
fruité | fruity
fonctionnalité | functionality
fongosité | fungosity
futilité | futility
gaieté | gaiety
loquacité | garrulity
généralité | generality
générosité | generosity
gentilité | gentility
gibbosité | gibbosity
globularité | globularity
gouvernabilité | governability
Grandiosité | grandiosity
granularité | granularity
la gravité | gravity
crédulité | gullibility
habitabilité | habitability
précipité | hasty
hérédité | heredity
héritabilité | heritability
hétérogénéité | heterogeneity
hétérosexualité | heterosexuality
hilarité | hilarity
historicité | historicity
homogénéité | homogeneity
homosexualité | homosexuality
honnêteté | honesty
hospitalité | hospitality
hostilité | hostility
humanité | humanity
humidité | humidity
humilité | humility
l&#39;hydroélectricité | hydroelectricity
hyperacidité | hyperacidity
hyperactivité | hyperactivity
hypersensibilité | hypersensitivity
hypersexualité | hypersexuality
hyposensibilité | hyposensitivity
idéalité | ideality
identifiabilité | identifiability
identité | identity
ignobilité | ignobility
illégalité | illegality
illisibilité | illegibility
imbécillité | imbecility
immatérialité | immateriality
immaturité | immaturity
